username,userid
Matt Hunckler,Hunckler
Xiaoyu Miao,xiaoyumiao
Alasdair Allan,aallan
Alan Murray,alansmurray
Max Tegmark,tegmark
Satya Nadella,satyanadella
Mark Suster,msuster
Carol E. Reiley,robot_MD
Dez Blanchfield,dez_blanchfield
Oren Etzioni,etzioni
 i need a break ,triketora
Ricardo Amorim,Ricamconsult
Chris Bailey,Chris_Bailey
Karen Christensen,KarenChristenze
Betty Liu,BettyWLiu
Rebecca Blumenstein,RBlumenstein
ICANN President,icann_president
Joi Ito,Joi
Ana Swanson,AnaSwanson
Evan Osnos,eosnos
Mark MacKinnon,markmackinnon
Alexia Bonatsos,alexia
leijun,leijun
David Leonhardt,DLeonhardt
Sean Parker,sparker
Yuanqing Yang,YuanqingYang
Wipro Limited,Wipro
Kevin Roose,kevinroose
JohnAlexander Nicholson,JANicholson3
Vishal Sikka,vsikka
Brandy Jensen,BrandyLJensen
vishal.blog,vgurbuxani
Judy Chu,RepJudyChu
jack,jack
Michael Dell,MichaelDell
Dr. Sean Cianfarano,Sean_Cianfarano
Mark Woodland,MarkAWoodland
Javier C. Hernández,HernandezJavier
Nelly Furtado,NellyFurtado
Michelle Malkin,michellemalkin
UNICEF,UNICEF
Mr. Robot,whoismrrobot
JaneMere,janemere
Rep. Barbara Lee,RepBarbaraLee
Soledad O'Brien,soledadobrien
Al Franken,alfranken
Ellen DeGeneres,TheEllenShow
646-506-3390 TEXT ME ,6BillionPeople
John Maeda,johnmaeda
Vala Afshar,ValaAfshar
CAMMI PHAM,cammipham
goodreads,goodreads
Bill Gurley,bgurley
Steven Sinofsky,stevesi
ChinaFile,ChinaFile
OneClick.ai,oneclickai
Chris Espinosa,cdespinosa
TheAIConf,TheAIConf
Shoshana ,ShoshUMD
Asia House,asiahouseuk
Tom Birtwhistle,TomBirtwhistle
The New York Times,nytimes
Hans Tung,hanstung
Paul Roehrig,PaulRoehrig
Ian Hogarth,soundboy
Eric S. Yuan,ericsyuan
Mark Warner,MarkWarner
Chris Anderson,chr1sa
Rodney Brooks,rodneyabrooks
Megan Smith,smithmegan
National Committee on U.S.-China Relations,NCUSCR
Stephen Orlins 欧伦斯,sorlins
John Markoff,markoff
Adam Nash,adamnash
Hadley Harris,Hadley
Marc Mathieu,marcfmath
nihalmehta,nihalmehta
Jennifer Barr,rjenbarr
Dave Coplin,dcoplin
Ben Saunders,polarben
Ben Bajarin,BenBajarin
Wyatt Roy,MrWyattR
Patrick Osinski,patosins
Normie Millendez,NormsOfficial
Reid Hoffman,reidhoffman
 Austen Allred,Austen
Alex Whitcomb,AlexWhitcomb
nxthompson,nxthompson
Linda Avey,lindaavey
J. Brooks,JGBrooksJR
alizaknox,alizaknox
christel quek ,ladyxtel
Jonathan Kaiman,JRKaiman
Michael Chui,mchui
Rob Szczerba,RJSzczerba
张佩芝Peggy Chang,peggyvoa
Oliver Isaacs,oliverzok
TIAN Wei,tianwei
Roger James Hamilton,rogerhamilton
Badar Khushnood,badar76
Lauren Dickey,lfdickey
MIT CSAIL,MIT_CSAIL
John M. Donnelly,johnmdonnelly
Farah Mohamed,farahymohamed
Manu Kumar,ManuKumar
Matt Sweetwood,MSweetwood
Technology Review,techreview_De
Ben Hamner,benhamner
Erika Fry,erikafry
eamonncarey,eamonncarey
Shelly Banjo,sbanjo
Drew Harwell,drewharwell
Felix Marquardt,Feleaks
Selina Wang,selinawangtv
Stephen Ellison,sj_ellison
Shona Ghosh,shonaghosh
SJ,SijiaJ
peteskomoroch,peteskomoroch
Mike Elgan,MikeElgan
Jorge Guajardo,jorge_guajardo
Stephanie Studer,studersc
Jenny Anderson,jandersonQZ
Leiti Hsu,leitihsu
ALEX MACLEAN,AlexMacleanECL
Jacob Morgan,jacobm
Subrahmanyam KVJ,SuB8u
Dan Frommer,fromedome
Baruch Labunski,Baruch_Labunski
Deb Roy,dkroy
Sean Keach,SeanKeach
Tom Standage,tomstandage
David Bach,DBachGlobal
erin griffith,eringriffith
Andrew Nusca,editorialiste
scott belsky,scottbelsky
Scott Heiferman,heif
Marc Ecko,marcecko
Wang Xiang,XiangW_
Nitasha Tiku,nitashatiku
David M. Brear,davidbrear
Tom Mackenzie,TomMackenzieTV
Peter Elstrom,pelstrom
Ken Turner,KenKt13
Amy Feldman,amyfeldman
Ambarish Mitra,rishmitra
Andrew Yang,AndrewYang
Rob McCargow,RobMcCargow
BCG Henderson Inst.,BCGhenderson
Martin Reeves,MartinKReeves
Yuval Noah Harari,harari_yuval
Evan Kirstel #RemoteWork,EvanKirstel
Adam Grant,AdamMGrant
Jonathan Greenblatt,JGreenblattADL
anne mcelvoy,annemcelvoy
John Brockman,edge
Vauhini Vara,vauhinivara
Steven Levy,StevenLevy
Robert Stanić #AI #Fintech #RegTech,RobertStanich
New York Times Events,nytimesevents
Berggruen Institute,berggruenInst
Kim Escherich,kescherich
Patrick Muncaster,PJ_Muncaster
CMU School of Computer Science,SCSatCMU
CMU Computer Science Department,CSDatCMU
samim,samim
Hugh Byrne,hdbyrne
Tarun Chhabra,ChhabraT
McKinsey Global Institute,McKinsey_MGI
SIM,SIMInt
APCO Worldwide,apcoworldwide
MIT Technology Review,techreview
Mark Storm,marksstorm
Charles Radclyffe,dataphilosopher
Martin Ford,MFordFuture
Jose Afonso Furtado,jafurtado
Chris Anderson,TEDchris
Greg Williams,GregWilliams718
World Economic Forum,wef
Pandaily,thePandaily
CGTN,CGTNOfficial
China Xinhua News,XHNews
Bank of America News,BofA_News
Mark Minevich “AIMark”,MMinevich
Bloomberg Technology,technology
Jennifer Meacher,JenniferMeacher
Marc Benioff,Benioff
Jeff Richards,jrichlive
tabitha goldstaub,tabithagold
amcafee,amcafee
Erik Brynjolfsson,erikbryn
Mustafa Suleyman,mustafasuleymn
Fei-Fei Li,drfeifei
Scott Thurm,ScottThurm
Matt Hancock,MattHancock
George Osborne,George_Osborne
Jeff Dean (@,JeffDean
Paul Triolo,pstAsiatech
Paul Daugherty,pauldaugh
AI Index,indexingai
Jonathan Woetzel,JonathanWoetzel
ian bremmer,ianbremmer
Eurasia Group,EurasiaGroup
Project Syndicate,ProSyn
Mark W Clark,markwclark
Spiros Margaris,SpirosMargaris
Kara Swisher,karaswisher
Mona M. Vernon,monavernon
The Economist,TheEconomist
Carlos Creus Moreira,CreusMoreira
Tom Simonite,tsimonite
Miguel Helft,mhelft
Benjamin Joffe,benjaminjoffe
Matthew J. Belvedere,Matt_Belvedere
ShaoLan Chineasy,ShaoLan_Hsueh
The M&A Advisor,themaadvisor
Basic Income Quotes,BaseIncomeQuote
David Rotman,DavidRotman
Gil Press,GilPress
Azeem Azhar,azeem
Will Knight,willknight
Joanna J Bryson,j2bryson
Yann LeCun,ylecun
Matt Sheehan,mattsheehan88
Face++,faceplusplus
MIRI,MIRIBerkeley
Christina Larson 可心,larsonchristina
Jack Clark,jackclarkSF
Elon Musk,elonmusk
Tom Hulme,thulme
Jessi Hempel,jessiwrites
Peter H. Diamandis,PeterDiamandis
timoreilly,timoreilly
wangzhaohui,wangzhaohui2
"Larry Brilliant MD, MPH",larrybrilliant
Rana Foroohar,RanaForoohar
a16z,a16z
Paul Graham,paulg
Tim Cook,tim_cook
Marc Andreessen,pmarca
Sam Altman,sama
Jon Shieber,jshieber
nicolewong,nicolewong
RebeccaFannin,rfannin
Mariya Yao,thinkmariya
Eric Topol,EricTopol
纽约时报中文网,nytchinese
Cade Metz,CadeMetz
Jeremy Goldkorn,goldkorn
Jiayang Fan,JiayangFan
SupChina,supchinanews
Kevin Delaney,delaney
vinton g cerf,vgcerf
Megan Murphy,meganmurp
Tim Bradshaw,tim
Mayor of London (gov.uk/coronavirus),MayorofLondon
Anita Huang,anitahuang_sh
Henry,Henryhwa
Ricky Wong,kinwong
Idea Bulb Ventures,IdeaBulbVC
Angela Beibei Bao,AngelaBaoBeibei
ConsenSys Space,Consensys_Space
Sinovation Ventures,sinovationvc
Demis Hassabis,demishassabis
Donald J. Trump,realDonaldTrump
TaiwanStartupStadium,startup_stadium
Austin Ramzy,austinramzy
The News Lens,thenewslens
Chris Evdaimon,evdemon
ashton kutcher,aplusk
leehsienloong,leehsienloong
Businessweek,BW
Li Yuan,LiYuan6
Paul Mozur 孟建國,paulmozur
Pope Francis,Pontifex
慕容雪村Murong Xuecun,hawkyeee
Ryan Lizza,RyanLizza
David Barboza,DavidBarboza2
Rebecca MacKinnon,rmack
Emily Parker,emilydparker
Global Voices,globalvoices
Shai Oster,beijingscribe
Bloomberg QuickTake,QuickTake
Fareed Zakaria,FareedZakaria
Min Jiang,mindyjiang
Emily Chang,emilychangtv
Geoffrey Wu,Geoffrey_Wu
China Media Project,cnmediaproject
Thomas L. Friedman,tomfriedman
Offbeat China,OffbeatChina
自由微博,FreeWeibo
BBC Breaking News,BBCBreaking
TED Talks,TEDTalks
浦志强,puzhiqiang
Vernon Lee Jr,vlee21
Jeff Huber,jhuber
TechCrunch,TechCrunch
Google AI,GoogleAI
Bill Gross,Bill_Gross
Michael Anti,mranti
Eunice Yoon,onlyyoontv
James Fallows,JamesFallows
Gady Epstein,gadyepstein
Arianna Huffington,ariannahuff
Fast Company,FastCompany
Oprah Winfrey,Oprah
Kaiser Kuo,KaiserKuo
Walt Mossberg,waltmossberg
王小山,wangxiaoshan
Dennis Rodman,dennisrodman
Biz Stone,biz
Sarah Lacy,sarahcuda
Deirdre Bosa,dee_bosa
左小祖咒 Zuoxiao Zuzhou,zuzhou
John Battelle,johnbattelle
一毛不拔,yimaobuba
南方周末,nanfangzhoumo
Bloomberg,business
和菜头,hecaitou
hzz,HuxiuEng
Fenng,Fenng
Bill Bishop,niubi
南方周末,NanZhou
Fresh Stories,duanzi
Kleiner Perkins,kleinerperkins
MuddyWatersResearch,muddywatersre
Herb Greenberg,herbgreenberg
dick costolo,dickc
韩寒,TwoCold
Citron Research,CitronResearch
Mitt Romney,MittRomney
Xiaoning Qi,xiaoningqi
Justin Higgins,BrusselsJustin
 Noah,noaheverett
Chad Hurley,Chad_Hurley
Eric Schmidt,ericschmidt
Bill Gates,BillGates
Sha-Mayn Teh,shamayn
Fan Yang(杨帆),yangfannet
閭丘露薇,roseluqiu
Ning Hu,ninghu
Junyu Wang | 王俊煜,junyu
erhan,erhanerdogan
Stef Sun,Stefsunyanzi
Robert Buderi,bbuderi
JOHNABYRNE,JohnAByrne
marissamayer,marissamayer
Robert Kong Hai ,weirdchina
keso,keso
小谷哥哥,Google_in_China
来吧,laibatopic
Barack Obama,BarackObama
cnBeta Breaking News,cbrk
WangShuo | 王烁,WangShuo
Jeffery Young,syutlyc
flypig,flypig
Google,Google
kristiheim,kristiheim
谷奥,guao
Yizi Wu,wuyizi
allandu,allandu
Jenny,wangjenny
Jin Cui,cuijin78
Elisa Ma,ElisaMa
therealmccrea,therealmccrea
𝙔𝙤𝙣𝙜𝙜𝙖𝙣𝙜 𝙒𝙖𝙣𝙜,wixette
johnschen,johnschen
Violet Kim,yiluuwang
Shioupyn Shen,shioupyn
Jim Morris,jameshmorris
Michael Zhang,izlmichael
xuxiaoping,xuxiaoping
John McCrea,johnmccrea
Eric Hoffert,ehoffert
soko,liyanhong
Eric Feng,efeng
Alan Eustace,aeustace
John & Diane Sculley,johnsculley
chuan,chuanluo
Ya-Qin Zhang,zhangyaqin
贺志刚,chuqiutianqi2
Matt Cutts,mattcutts
Haoyuan (H.Y.) Li,Haoyuan
keadams,keadams
SecurityGuarantee,tuxiaomi
Wei Xiao,shall_we
Scott Meredith,SeeOtter
smile,yoursmiling
Jim Gable,jimgable
William H. Hsu @ ICML2020,banazir
Jiakai Liu,liujiakai
John Doerr,johndoerr
David Kirkpatrick,DavidKirkpatric
Tyrannical Pipsqueak,rikkcarey
John Woo,johnwoooo
Bei-jing Guo,beijingg
Walid Abu-Hadba,walida123
harryke,harryke
贺志刚,chuqiutianqi
a intlr,intlr
